Base Verbale, Prétérit, Participe passé, Traduction
beat, beat, beaten, battre (coeur)
become, became, become, devenir
begin, began, begun, commencer
bend, bent, bent, (se) courber
bet, bet, bet, parier
bind, bound, bound, relier (livre)
bite, bit, bitten, mordre
bleed, bled, bled, saigner
blow, blew, blown, souffler
break, broke, broken, casser
breed, bred, bred, élever
bring, brought, brought, apporter
build, built, built, construire
burn, burnt, burnt, brûler
buy, bought, bought, acheter
catch, caught, caught, attraper
choose, chose, chosen, choisir
come, came, come, venir
cost, cost, cost, coûter
cut, cut, cut, couper
do, did, done, faire (auxiliaire)
dig, dug, dug, creuser
draw, drew, drawn, dessiner
dream, dreamt, dreamt, rêver
drink, drank, drunk, boire
drive, drove, driven, conduire
eat, ate, eaten, manger
fall, fell, fallen, tomber
feed, fed, fed, nourrir
feel, felt, felt, (res)sentir
fight, fought, fought, se battre
find, found, found, trouver
fly, flew, flown, voler (oiseau)
forget, forgot, forgotten, oublier
forgive, forgave, forgiven, pardonner
freeze, froze, frozen, geler
get, got, got, obtenir
give, gave, given, donner
go, went, gone, aller
grow, grew, grown, grandir
have, had, had, avoir
hear, heard, heard, entendre
hide, hid, hidden, cacher
hit, hit, hit, frapper 
hold, held, held, tenir
hurt, hurt, hurt, faire mal
keep, kept, kept, garder
know, knew, known, savoir
lay, laid, laid, poser
lead, led, led, mener
lean, leant, leant, pencher
leave, left, left, quitter
lend, lent, lent, prêter
let, let, let, laisser
lose, lost, lost, perdre
make, made, made, fabriquer
mean, meant, meant, signifier
meet, met, met, rencontrer
pay, paid, paid, payer
put, put, put, mettre
quit, quit, quit, arrêter
read, read, read, lire
ride, rode, ridden, aller en (véhicule)
ring, rang, rung, sonner
rise, rose, risen, monter
run, ran, run, courir
say, said, said, dire
see, saw, seen, voir
sell, sold, sold, vendre
send, sent, sent, envoyer
set, set, set, régler (machine)
shake, shook, shaken, secouer
shine, shone, shone, briller
shoe, shod, shod, chausser (rare)
shoot, shot, shot, tirer
show, showed, shown, montrer
shrink, shrank, shrunk, rétrécir
shut, shut, shut, fermer
sing, sang, sung, chanter
sink, sank, sunk, couler
sit, sat, sat, s'asseoir
sleep, slept, slept, dormir
speak, spoke, spoken, parler
spend, spent, spent, dépenser
spill, spilt, spilt, renverser
spread, spread, spread, répandre
speed, sped, sped, aller très/trop vite
stand, stood, stood, se tenir debout
steal, stole, stolen, voler (crime)
stick, stuck, stuck, planter
sting, stung, stung, piquer
stink, stank, stunk, puer
swear, swore, sworn, jurer
sweep, swept, swept, balayer
swim, swam, swum, nager
swing, swung, swung, osciller
take, took, taken, prendre
teach, taught, taught, enseigner
tear, tore, torn, déchirer
tell, told, told, raconter
think, thought, thought, penser
throw, threw, thrown, jeter
understand, understood, understood, comprendre
wake, woke, woken, réveiller
wear, wore, worn, porter (vêtement)
win, won, won, gagner
write, wrote, written, écrire
